rvvCode; blackCode; zoneCode; textSigns;;;;;;Naam; Snelheid;Zonebord;Soort onderbord;atrtribuutnaam 1;Waarde onderbord 1;atrtribuutnaam 2;Waarde onderbord 2
A1;30;;EIGEN TERREIN Vereniging van Eigenaren Parkeren alleen bewoners en bezorgend verkeer;;;;;;A1;30;;Parkeerinstructie;Omschrijving;EIGEN TERREIN Vereniging van Eigenaren Parkeren alleen bewoners en bezorgend verkeer;;
A1;15;;eigen weg;5 ton;;;;;A1;15;;Vrije tekst;Omschrijving;eigen weg;;
A1;30;;EIGEN WEG;;;;;;A1;30;;Vrije tekst;Omschrijving;EIGEN WEG;;
A1(Zone);30;;Eigen weg;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Eigen weg;;
A1(Zone);30;;EIGEN WEG;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;EIGEN WEG;;
A1;15;;Eigen weg bestemmings- verkeer;;;;;;A1;15;;Vrije tekst;Omschrijving;Eigen weg bestemmings- verkeer;;
A1;50;;Eigen weg Min. van Defensie;;;;;;A1;50;;Vrije tekst;Omschrijving;Eigen weg Min. van Defensie;;
A1;15;;Eigen weg voorheen het Melkpad;;;;;;A1;15;;Vrije tekst;Omschrijving;Eigen weg voorheen het Melkpad;;
A1;15;;Eigen weg Wegsleepregeling van toepassing Parkeren in de vakken Niet parkeren op de rijbaan Max. snelheid 30 Km/h;;;;;;A1;15;;Parkeerinstructie;Omschrijving;Eigen weg Wegsleepregeling van toepassing Parkeren in de vakken Niet parkeren op de rijbaan Max. snelheid 30 Km/h;;
A1;60;;Eigen weg Zeeland Seaports;;;;;;A1;60;;Vrije tekst;Omschrijving;Eigen weg Zeeland Seaports;;
A2;30;;EINDE SCHOOLZONE;;;;;;A2;30;;Vrije tekst;Omschrijving;EINDE SCHOOLZONE;;
A1(Zone);60;;EINDE STROOIGEBIED;;;;;;A1;60;Zone;Waarschuwing;Omschrijving;EINDE STROOIGEBIED;;
A2(Zone);30;;EINDE STROOIGEBIED;;;;;;A2;30;Zone;Waarschuwing;Omschrijving;EINDE STROOIGEBIED;;
A1(Zone);30;;einde verharde weg 175 m;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;einde verharde weg 175 m;;
A1(Zone);60;;einde verharding 150 m;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;einde verharding 150 m;;
A1(Zone);60;;einde verharding 200 m;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;einde verharding 200 m;;
A1(Zone);30;;EINDE VERHARDING NA 450 m;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;EINDE VERHARDING NA 450 m;;
A2(Zone);60;;Einde verharding na 450 m;;;;;;A2;60;Zone;Vrije tekst;Omschrijving;Einde verharding na 450 m;;
A2(Zone);60;;einde verharding na 50 m.;;;;;;A2;60;Zone;Vrije tekst;Omschrijving;einde verharding na 50 m.;;
A1(Zone);60;;Einde verharding na 700 meter;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;Einde verharding na 700 meter;;
A2(Zone);30;;Elburg Epe;;;;;;A2;30;Zone;Vrije tekst;Omschrijving;Elburg Epe;;
A4;50;;elektronisch wildwissel- waarschuwingssysteem;;;;;;A4;50;;Vrije tekst;Omschrijving;elektronisch wildwissel- waarschuwingssysteem;;
A5;50;;elektronisch wildwissel-waarschuwingssysteem;;;;;;A5;50;;Vrije tekst;Omschrijving;elektronisch wildwissel-waarschuwingssysteem;;
A2;;;en brommobielen;;;;;;A2;;;Vrije tekst;Omschrijving;en brommobielen;;
A3;;;Esso FASTNED;;;;;;A3;;;Vrije tekst;Omschrijving;Esso FASTNED;;
A1;50;;EUROPEAN CAPITAL OF CULTURE 2018;;;;;;A1;50;;Vrije tekst;Omschrijving;EUROPEAN CAPITAL OF CULTURE 2018;;
A1(Zone);30;;EXPEDITIE;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;EXPEDITIE;;
A1;15;;fabrieks- terrein;;;;;;A1;15;;Vrije tekst;Omschrijving;fabrieks- terrein;;
A1;15;;fabrieksterrein;;;;;;A1;15;;Vrije tekst;Omschrijving;fabrieksterrein;;
A1;30;;Fabrieksterrein Verboden voor onbevoegden;;;;;;A1;30;;Vrije tekst;Omschrijving;Fabrieksterrein Verboden voor onbevoegden;;
A1;50;;FAIRTRADE GEMEENTE;;;;;;A1;50;;Vrije tekst;Omschrijving;FAIRTRADE GEMEENTE;;
A1(Zone);30;;FAIRTRADE GEMEENTE;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;FAIRTRADE GEMEENTE;;
A1(Zone);30;;FAIRTRADE GEMEENTE onleesbaar;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;FAIRTRADE GEMEENTE onleesbaar;;
A1(Zone);30;;Fatimaschool;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Fatimaschool;;
A1;15;;Fietsen plaatsen is op eigen risico;;;;;;A1;15;;Vrije tekst;Omschrijving;Fietsen plaatsen is op eigen risico;;
A2(Zone);30;;Fietsenstalling Laan;;;;;;A2;30;Zone;Vrije tekst;Omschrijving;Fietsenstalling Laan;;
A1;5;;fietsers afstappen;;;;;;A1;5;;Vrije tekst;Omschrijving;fietsers afstappen;;
A1(Zone);60;;FIETSERS MEIJEL;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;FIETSERS MEIJEL;;
A1(Zone);30;;fietsers op rijbaan;;;;;;A1;30;Zone;Waarschuwing;Omschrijving;fietsers op rijbaan;;
A2(Zone);;;fietsers oversteken;;;;;;A2;;Zone;Vrije tekst;Omschrijving;fietsers oversteken;;
A2(Zone);30;;fietsers oversteken;;;;;;A2;30;Zone;Vrije tekst;Omschrijving;fietsers oversteken;;
A1(Zone);30;;fietsers rechts houden;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;fietsers rechts houden;;
A2(Zone);30;;Fietsers richting Brunssum hier oversteken;;;;;;A2;30;Zone;Vrije tekst;Omschrijving;Fietsers richting Brunssum hier oversteken;;
A1;30;;fietsstraat toegestaan;;;;;;A1;30;;Vrije tekst;Omschrijving;fietsstraat toegestaan;;
A1;15;;GATE D;;;;;;A1;15;;Vrije tekst;Omschrijving;GATE D;;
A1(Zone);60;;gebruik glas;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;gebruik glas;;
A2(Zone);30;;gebruik glas;;;;;;A2;30;Zone;Vrije tekst;Omschrijving;gebruik glas;;
A1;15;;gebruik van deze toegangsweg is op eigen risico;;;;;;A1;15;;Vrije tekst;Omschrijving;gebruik van deze toegangsweg is op eigen risico;;
A3;;;Geef fietser ruimte;;;;;;A3;;;Waarschuwing;Omschrijving;Geef fietser ruimte;;
A1;50;;geef ritser ruimte;;;;;;A1;50;;Waarschuwing;Omschrijving;geef ritser ruimte;;
A1(Zone);30;;Geen doorgaand rijverkeer;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Geen doorgaand rijverkeer;;
A1(Zone);30;;geen doorgaand verkeer;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;geen doorgaand verkeer;;
A1(Zone);30;;Geen doorgaand verkeer;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Geen doorgaand verkeer;;
A1(Zone);30;;GEEN DOORGAAND VERKEER;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;GEEN DOORGAAND VERKEER;;
A1(Zone);60;;geen doorgaande verharding;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;geen doorgaande verharding;;
A1(Zone);30;;Geen doorgang naar bedrijven de Weidjes;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Geen doorgang naar bedrijven de Weidjes;;
A1(Zone);60;;geen doorlopende verharde weg;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;geen doorlopende verharde weg;;
A1(Zone);60;;Geen doorlopende verharde weg;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;Geen doorlopende verharde weg;;
A1(Zone);60;;GEEN doorlopende verharde weg;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;GEEN doorlopende verharde weg;;
A1(Zone);60;;GEEN DOORLOPENDE VERHARDE WEG;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;GEEN DOORLOPENDE VERHARDE WEG;;
A1(Zone);30;;Geen eenden voeren i.v.m. overlast ratten;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Geen eenden voeren i.v.m. overlast ratten;;
A1(Zone);30;;Geen fietsen plaatsen a.u.b.;;;;;;A1;30;Zone;Parkeerinstructie;Omschrijving;Geen fietsen plaatsen a.u.b.;;
A1;15;;geen honden op het gras;;;;;;A1;15;;Vrije tekst;Omschrijving;geen honden op het gras;;
A1(Zone);60;;geen toegang privé terrein;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;geen toegang privé terrein;;
A1;15;;GEEN TOEGANG VOOR ONBEVOEGDEN;;;;;;A1;15;;Vrije tekst;Omschrijving;GEEN TOEGANG VOOR ONBEVOEGDEN;;
A1;30;;geen toegang voor onbevoegden;;;;;;A1;30;;Vrije tekst;Omschrijving;geen toegang voor onbevoegden;;
A1(Zone);30;;Geen Vrachtverkeer Richting Den Dolder;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Geen Vrachtverkeer Richting Den Dolder;;
A1(Zone);30;;Geer doorgaand verkeer;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Geer doorgaand verkeer;;
A4;50;;gehele industrie- terrein;5 km;;;;;A4;50;;Vrije tekst;Omschrijving;gehele industrie- terrein;;
A1;15;;geidt voor het gehele terrein;;;;;;A1;15;;Vrije tekst;Omschrijving;geidt voor het gehele terrein;;
A1(Zone);30;;geldt niet van ma t/m vr tussen 08.00 - 18.00 h;;;;;;A1;30;Zone;Tijdstipaanduiding;Starttijd;08:00:00;eindtijd;18:00:00
A1(Zone);30;;GELDT NIET VOOR FIETSERS;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;GELDT NIET VOOR FIETSERS;;
A1(Zone);30;;geldt ook voor passeervlakken;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;geldt ook voor passeervlakken;;
A1;15;;Geldt voor het gehele bedrijfsterrein;;;;;;A1;15;;Vrije tekst;Omschrijving;Geldt voor het gehele bedrijfsterrein;;
A1;15;;geldt voor het gehele terrein;;;;;;A1;15;;Vrije tekst;Omschrijving;geldt voor het gehele terrein;;
A1;15;;GELDT VOOR HET GEHELE TERREIN;;;;;;A1;15;;Vrije tekst;Omschrijving;GELDT VOOR HET GEHELE TERREIN;;
A1;15;;Geldt voor het gehele terrein;;;;;;A1;15;;Vrije tekst;Omschrijving;Geldt voor het gehele terrein;;
A1;30;;Geldt voor het gehele terrein;;;;;;A1;30;;Vrije tekst;Omschrijving;Geldt voor het gehele terrein;;
A1;15;;geldt voor het hele terrein;;;;;;A1;15;;Vrije tekst;Omschrijving;geldt voor het hele terrein;;
A1;70;;geldt voor lijnbus;;;;;;A1;70;;Vrije tekst;Omschrijving;geldt voor lijnbus;;
A1(Zone);30;;Gelieve snelheid minderen i.v.m. stoforverlast;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Gelieve snelheid minderen i.v.m. stoforverlast;;
A1(Zone);60;;Gelieve snelheid minderen i.v.m. stoforverlast;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;Gelieve snelheid minderen i.v.m. stoforverlast;;
A1(Zone);60;;Gelieve snelheid minderen i.v.m. stofoverlast;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;Gelieve snelheid minderen i.v.m. stofoverlast;;
A1;50;;geluidshinder;;;;;;A1;50;;Vrije tekst;Omschrijving;geluidshinder;;
A4;50;;geluidshinder!;;;;;;A4;50;;Vrije tekst;Omschrijving;geluidshinder!;;
A3;;;gemarkeerde weggedeelten vrijlaten;;;;;;A3;;;Vrije tekst;Omschrijving;gemarkeerde weggedeelten vrijlaten;;
A1;50;;gemarkeerde weggedeeltenn vrij houden;;;;;;A1;50;;Vrije tekst;Omschrijving;gemarkeerde weggedeeltenn vrij houden;;
A1(Zone);30;;GEMEENTE MAASGOUW.;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;GEMEENTE MAASGOUW.;;
A1(Zone);60;;gemeente Nijkerk;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;gemeente Nijkerk;;
A1(Zone);30;;Gemeente Ommen NATUURGEBIED;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Gemeente Ommen NATUURGEBIED;;
A1;60;;Gemeente onleesbaar Welkom in de gemeente Leusden;;;;;;A1;60;;Vrije tekst;Omschrijving;Gemeente onleesbaar Welkom in de gemeente Leusden;;
A1(Zone);60;;gemeente putten;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;gemeente putten;;
A4;50;;geopend 25 juni 1999;;;;;;A4;50;;Vrije tekst;Omschrijving;geopend 25 juni 1999;;
A1(Zone);30;;Gereserveerd voor Verloskundige;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Gereserveerd voor Verloskundige;;
A1(Zone);30;;Gervenhof;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Gervenhof;;
A1;30;;Gevaarlijke berm;;;;;;A1;30;;Waarschuwing;Omschrijving;Gevaarlijke berm;;
A1;30;;GEVAARLIJKE BERM;;;;;;A1;30;;Waarschuwing;Omschrijving;Gevaarlijke berm;;
A1;60;;gevaarlijke berm;;;;;;A1;60;;Waarschuwing;Omschrijving;Gevaarlijke berm;;
A1(Zone);30;;GEVAARLIJKE BERM;;;;;;A1;30;Zone;Waarschuwing;Omschrijving;Gevaarlijke berm;;
A1(Zone);60;;gevaarlijke berm;;;;;;A1;60;Zone;Waarschuwing;Omschrijving;Gevaarlijke berm;;
A1(Zone);60;;Gevaarlijke berm;;;;;;A1;60;Zone;Waarschuwing;Omschrijving;Gevaarlijke berm;;
A2(Zone);30;;Gevaarlijke oversteek;;;;;;A2;30;Zone;Waarschuwing;Omschrijving;Gevaarlijke oversteek;;
A1(Zone);60;;Gevaarlijke wegkanten;;;;;;A1;60;Zone;Waarschuwing;Omschrijving;Gevaarlijke wegkanten;;
A1(Zone);30;;Gewijzigde situatie verkeer van rechts;;;;;;A1;30;Zone;Waarschuwing;Omschrijving;Gewijzigde situatie verkeer van rechts;;
A1;50;;GLADHEIDSWAARSCHUWING BLAUW:KANS OP GLADHEID;;;;;;A1;50;;Waarschuwing;Omschrijving;GLADHEIDSWAARSCHUWING BLAUW:KANS OP GLADHEID;;
A1;70;;GOED DAT JE ER BENT;;;;;;A1;70;;Vrije tekst;Omschrijving;GOED DAT JE ER BENT;;
A1;70;;GOED DAT JE ER BENT;;;;;;A1;70;;Vrije tekst;Omschrijving;GOED DAT JE ER BENT;;
A1(Zone);60;;Goorkottedwarsweg via vieerboersweg bereikbaar;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;Goorkottedwarsweg via vieerboersweg bereikbaar;;
A1(Zone);30;;groenrecycling utrechet b.v.;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;groenrecycling utrechet b.v.;;
A1(Zone);60;;Groningen;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;Groningen;;
A1;30;;Haarlemmerweg BR: 703 t/m 719;;;;;;A1;30;;Vrije tekst;Omschrijving;Haarlemmerweg BR: 703 t/m 719;;
A1(Zone);60;;Handboogschutterij Concordia;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;Handboogschutterij Concordia;;
A2(Zone);60;;Hanzestad;;;;;;A2;60;Zone;Vrije tekst;Omschrijving;Hanzestad;;
A1;15;;heftrucks hebben voorrang;;;;;;A1;15;;Vrije tekst;Omschrijving;heftrucks hebben voorrang;;
A1;15;;heftrucks hebben voorrang;;;;;;A1;15;;Vrije tekst;Omschrijving;heftrucks hebben voorrang;;
A1;15;;hele terrein;;;;;;A1;15;;Vrije tekst;Omschrijving;hele terrein;;
A1(Zone);60;;herhalıng;;;;;;A1;60;Zone;Herhaling;Omschrijving;Herhaling;;
A1;;;herhaling;;;;;;A1;;;Herhaling;Omschrijving;Herhaling;;
A1;;;Herhaling;;;;;;A1;;;Herhaling;Omschrijving;Herhaling;;
A1;15;;herhaling;;;;;;A1;15;;Herhaling;Omschrijving;Herhaling;;
A1;30;;herhaling;;;;;;A1;30;;Herhaling;Omschrijving;Herhaling;;
A1;30;;Herhaling;;;;;;A1;30;;Herhaling;Omschrijving;Herhaling;;
A1;30;;HERHALING;;;;;;A1;30;;Herhaling;Omschrijving;Herhaling;;
A1;30;;Herhaling;;;;;;A1;30;;Herhaling;Omschrijving;Herhaling;;
A1;50;;herhaling;;;;;;A1;50;;Herhaling;Omschrijving;Herhaling;;
A1;50;;Herhaling;;;;;;A1;50;;Herhaling;Omschrijving;Herhaling;;
A1;50;;HERHALING;;;;;;A1;50;;Herhaling;Omschrijving;Herhaling;;
A1;50;;herhaling;;;;;;A1;50;;Herhaling;Omschrijving;Herhaling;;
A1;60;;herhaling;;;;;;A1;60;;Herhaling;Omschrijving;Herhaling;;
A1;60;;Herhaling;;;;;;A1;60;;Herhaling;Omschrijving;Herhaling;;
A1;70;;herhaling;;;;;;A1;70;;Herhaling;Omschrijving;Herhaling;;
A1;80;;herhaling;;;;;;A1;80;;Herhaling;Omschrijving;Herhaling;;
A1(Zone);;;herhaling;;;;;;A1;;Zone;Herhaling;Omschrijving;Herhaling;;
A1(Zone);;;HERHALING;;;;;;A1;;Zone;Herhaling;Omschrijving;Herhaling;;
A1(Zone);30;;herhaling;;;;;;A1;30;Zone;Herhaling;Omschrijving;Herhaling;;
A1(Zone);30;;Herhaling;;;;;;A1;30;Zone;Herhaling;Omschrijving;Herhaling;;
A1(Zone);30;;HERHALING;;;;;;A1;30;Zone;Herhaling;Omschrijving;Herhaling;;
A1(Zone);60;;herhaling;;;;;;A1;60;Zone;Herhaling;Omschrijving;Herhaling;;
A1(Zone);60;;Herhaling;;;;;;A1;60;Zone;Herhaling;Omschrijving;Herhaling;;
A1(Zone);60;;HERHALING;;;;;;A1;60;Zone;Herhaling;Omschrijving;Herhaling;;
A2(Zone);30;;herhaling;;;;;;A2;30;Zone;Herhaling;Omschrijving;Herhaling;;
A4;30;;herhaling;;;;;;A4;30;;Herhaling;Omschrijving;Herhaling;;
A4;60;;herhaling;;;;;;A4;60;;Herhaling;Omschrijving;Herhaling;;
A1;30;;herhalling;;;;;;A1;30;;Herhaling;Omschrijving;Herhaling;;
A1;50;;herhalling;;;;;;A1;50;;Herhaling;Omschrijving;Herhaling;;
A1;60;;herhalling;;;;;;A1;60;;Herhaling;Omschrijving;Herhaling;;
A1(Zone);30;;herhalling;;;;;;A1;30;Zone;Herhaling;Omschrijving;Herhaling;;
A1;50;;herheling;;;;;;A1;50;;Herhaling;Omschrijving;Herhaling;;
A1;15;;Het ANWB terrein en gebouwen zijn voorzien van video-observatie om te waken over uw en onze eigendommen.;;;;;;A1;15;;Vrije tekst;Omschrijving;Het ANWB terrein en gebouwen zijn voorzien van video-observatie om te waken over uw en onze eigendommen.;;
A1;15;;het betreden van dit terrein is op eigen risico;;;;;;A1;15;;Vrije tekst;Omschrijving;het betreden van dit terrein is op eigen risico;;
A1(Zone);30;;Het Groene Hart van Holland;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Het Groene Hart van Holland;;
A1(Zone);30;;Het is verboden om grond te storten(Wet Bodembescherming art. 6 lid 2b) Een boete bedraagtmin. â¬ 400.- Grond afvoeren naar erkende verwerker (bijv. Grondbank Middenmee;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Het is verboden om grond te storten(Wet Bodembescherming art. 6 lid 2b) Een boete bedraagtmin. â¬ 400.- Grond afvoeren naar erkende verwerker (bijv. Grondbank Middenmee;;
A1;30;;Het is verboden zich hier overlastgevend of hinderlijk op te houden (APV artikel 32);;;;;;A1;30;;Vrije tekst;Omschrijving;Het is verboden zich hier overlastgevend of hinderlijk op te houden (APV artikel 32);;
A1(Zone);30;;Het Riet;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Het Riet;;
A1;30;;HIER FIETSEN KINDEREN;;;;;;A1;30;;Waarschuwing;Omschrijving;HIER FIETSEN KINDEREN;;
A1(Zone);30;;Hier geern gain race t dÃ¶rp het shared space;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Hier geern gain race t dÃ¶rp het shared space;;
A3;;;hier geldt een samenscholingsverbod (art 2.1 A.P.V);;;;;;A3;;;Vrije tekst;Omschrijving;hier geldt een samenscholingsverbod (art 2.1 A.P.V);;
A1(Zone);30;;Hier geldt een samenscholingsverbod Art. 2:1.1.1 APV;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;Hier geldt een samenscholingsverbod Art. 2:1.1.1 APV;;
A1(Zone);30;;hier spelen onze kinderen;;;;;;A1;30;Zone;Waarschuwing;Omschrijving;hier spelen onze kinderen;;
A2(Zone);60;;Historische binnenstad;;;;;;A2;60;Zone;Vrije tekst;Omschrijving;Historische binnenstad;;
A1;50;;hoe hard rijdt u nu ?;;;;;;A1;50;;Vrije tekst;Omschrijving;hoe hard rijdt u nu ?;;
A1;50;;hoe hard rijdt U nu ?;;;;;;A1;50;;Vrije tekst;Omschrijving;hoe hard rijdt U nu ?;;
A1;50;;HOE HARD RIJDT U NU ?;;;;;;A1;50;;Vrije tekst;Omschrijving;HOE HARD RIJDT U NU ?;;
A1(Zone);60;;hoger dan 2;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;hoger dan 2;;
A1;15;;honden aan de liijn;;;;;;A1;15;;Vrije tekst;Omschrijving;honden aan de liijn;;
A1;15;;honden aan de lijn;;;;;;A1;15;;Vrije tekst;Omschrijving;honden aan de lijn;;
A1;15;;Honden aan de lijn;;;;;;A1;15;;Vrije tekst;Omschrijving;Honden aan de lijn;;
A1;15;;HONDEN AAN DE LIJN;;;;;;A1;15;;Vrije tekst;Omschrijving;HONDEN AAN DE LIJN;;
A1(Zone);30;;HONDENTOILET;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;HONDENTOILET;;
A1;50;;hoofdrijbaan;;;;;;A1;50;;Vrije tekst;Omschrijving;hoofdrijbaan;;
A1(Zone);60;;Hoogheemraadschap van de Krimpenerwaard;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;Hoogheemraadschap van de Krimpenerwaard;;
A1(Zone);60;;hou je aan de snelheid geluidhinder;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;hou je aan de snelheid geluidhinder;;
A1(Zone);60;;Houdoe;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;Houdoe;;
A2(Zone);30;;Houdoe;;;;;;A2;30;Zone;Vrije tekst;Omschrijving;Houdoe;;
A4;50;;HOUDT ONZE BUURT SCHOON;;;;;;A4;50;;Vrije tekst;Omschrijving;HOUDT ONZE BUURT SCHOON;;
A1;15;;Houdt u a.u.b. rekening met voetgangers en de bewoners langs dit pad!;;;;;;A1;15;;Waarschuwing;Omschrijving;Houdt u a.u.b. rekening met voetgangers en de bewoners langs dit pad!;;
A4;30;;i.v.m. bocht;;;;;;A4;30;;Vrije tekst;Omschrijving;i.v.m. bocht;;
A1;30;;i.v.m. campings en zorgboerderij;;;;;;A1;30;;Vrije tekst;Omschrijving;i.v.m. campings en zorgboerderij;;
A1;15;;i.v.m. stof;;;;;;A1;15;;Vrije tekst;Omschrijving;i.v.m. stof;;
A4;30;;i.v.m. stof;;;;;;A4;30;;Vrije tekst;Omschrijving;i.v.m. stof;;
A1(Zone);30;;I.V.M. Stuiven;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;I.V.M. Stuiven;;
A1;20;;i.v.m. trilling;;;;;;A1;20;;Vrije tekst;Omschrijving;i.v.m. trilling;;
A1;30;;I.V.M. TRILLINGEN;;;;;;A1;30;;Vrije tekst;Omschrijving;I.V.M. TRILLINGEN;;
A4;30;;i.v.m. trillingshinder;;;;;;A4;30;;Vrije tekst;Omschrijving;i.v.m. trillingshinder;;
A1;30;;i.v.m. voetgangers op rijbaan;;;;;;A1;30;;Waarschuwing;Omschrijving;i.v.m. voetgangers op rijbaan;;
A1;30;;in- / uitrit werkverkeer;;;;;;A1;30;;Vrije tekst;Omschrijving;in- / uitrit werkverkeer;;
A1;50;;in- / uitrit werkverkeer;;;;;;A1;50;;Vrije tekst;Omschrijving;in- / uitrit werkverkeer;;
A1;90;;in- / uitrit werkverkeer;;;;;;A1;90;;Vrije tekst;Omschrijving;in- / uitrit werkverkeer;;
A3;;;in tunnel;;;;;;A3;;;Vrije tekst;Omschrijving;in tunnel;;
A1(Zone);30;;In vriendschap verbonden met;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;In vriendschap verbonden met;;
A2(Zone);60;;In vriendschap verbonden met;;;;;;A2;60;Zone;Vrije tekst;Omschrijving;In vriendschap verbonden met;;
A1(Zone);30;;In vrijwel geheel leiderdorp geldt een opruim-en onleesbaar voor honden.Artikel 2:58 en 2:57 van de plaatselijke verordening.Kijk op www.leiderdorp.nl waar uw hond wel mag loplopen.;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;In vrijwel geheel leiderdorp geldt een opruim-en onleesbaar voor honden.Artikel 2:58 en 2:57 van de plaatselijke verordening.Kijk op www.leiderdorp.nl waar uw hond wel mag loplopen.;;
A1;50;;in/uitrit;;;;;;A1;50;;Vrije tekst;Omschrijving;in/uitrit;;
A1;15;;IN-/UITRIT;;;;;;A1;15;;Vrije tekst;Omschrijving;IN-/UITRIT;;
A1;30;;in-/uitrit bourwverkeer;;;;;;A1;30;;Vrije tekst;Omschrijving;in-/uitrit bourwverkeer;;
A1;30;;in-/uitrit bouwverkeer;;;;;;A1;30;;Vrije tekst;Omschrijving;in-/uitrit bouwverkeer;;
A1;30;;In-/uitrit bouwverkeer;;;;;;A1;30;;Vrije tekst;Omschrijving;In-/uitrit bouwverkeer;;
A1;30;;in/uitrit werkverkeer;;;;;;A1;30;;Vrije tekst;Omschrijving;in/uitrit werkverkeer;;
A1;50;;In/uitrit werkverkeer;;;;;;A1;50;;Vrije tekst;Omschrijving;In/uitrit werkverkeer;;
A1;30;;In-/uitrit werkverkeer;;;;;;A1;30;;Vrije tekst;Omschrijving;In-/uitrit werkverkeer;;
A1;30;;in-/uitrit werk-verkeer;;;;;;A1;30;;Vrije tekst;Omschrijving;in-/uitrit werk-verkeer;;
A1;30;;In-en uitrit werkverkeer;;;;;;A1;30;;Vrije tekst;Omschrijving;In-en uitrit werkverkeer;;
A1;15;;INGANG ALLEEN VOOR VRACHTWAGENS;;;;;;A1;15;;Vrije tekst;Omschrijving;INGANG ALLEEN VOOR VRACHTWAGENS;;
A1;60;;inhalen toegestaan;;;;;;A1;60;;Vrije tekst;Omschrijving;inhalen toegestaan;;
A1(Zone);60;;inhalen toegestaan;;;;;;A1;60;Zone;Vrije tekst;Omschrijving;inhalen toegestaan;;
A2;50;;inhalen toegestaan;;;;;;A2;50;;Vrije tekst;Omschrijving;inhalen toegestaan;;
A1;15;;inrijden;;;;;;A1;15;;Vrije tekst;Omschrijving;inrijden;;
A1;60;;INRIJDEN TOEGESTAAN;;;;;;A1;60;;Vrije tekst;Omschrijving;INRIJDEN TOEGESTAAN;;
A1(Zone);30;;inrijden verboden voor aslast boven 5 ton nieuw straatwerk;;;;;;A1;30;Zone;Vrije tekst;Omschrijving;inrijden verboden voor aslast boven 5 ton nieuw straatwerk;;
A1;15;;INRIT;;;;;;A1;15;;Vrije tekst;Omschrijving;INRIT;;
A2(Zone);30;;INRIT;;;;;;A2;30;Zone;Vrije tekst;Omschrijving;INRIT;;
A1;50;;INTERNATIONAAL WATERSPORTCENTRUM;;;;;;A1;50;;Vrije tekst;Omschrijving;INTERNATIONAAL WATERSPORTCENTRUM;;
A1;70;;invoegend werkverkeer;;;;;;A1;70;;Vrije tekst;Omschrijving;invoegend werkverkeer;;
